MATRICULA,ANO_INGRESSO,ANO_EVASAO,PERIODO_INGRESSO,SEXO,FAIXA_ETARIA,IDADE,ETNIA,ESTADO_CIVIL,TEMPO_CURSO,PERIODO_ATUAL,POSICAO_SEM,COD_COTA,MEDIA_REFEICOES_SEM_RU,MEDIA_RETIRADAS_SEM_BIBLIOTECA,BOLSISTA,MORADIA_CEU,MONITORIA,FORMACAO_ENSINO_MEDIO,INICIOU_CURSO_SUPERIOR,COMO_MANTER_DURANTE_CURSO,MOTIVO_OPTOU_CURSO,PLANO_ENSINO,ORIENTACAO_LABORATORIOS,ATUACAO_COORDENADOR,PRATICA_ESTAGIO,CORPO_DOCENTE,APROVADAS,REPROVADAS,REP_FREQ,DISP_NOTA,TRANC_TOT,TRANC_PARC,MATRICULADAS,TOTAL,MEDIA,DESEMP_ACAD,MEDIA_DISC_MATRICULA,ATEND_PSICOSOCIAL,BOLSA_BSE,BOLSA_BSE_ATIVA_SEM,BOLSA_BSE_SITUACAO,BOLSA_BSE_TEMPO_TOTAL_DIAS,BOLSA_BSE_TEMPO_CORRENTE_DIAS,BOLSA_BSE_DT_INICIO,BOLSA_BSE_DT_TERMINO,NOTA_LING,NOTA_HUMA,NOTA_NATU,NOTA_MATE,NOTA_REDA,MEDIDA_BAIRRO,DIASACESSOONLINE,TOTAL_SESSOES,TEMPO_TOTAL_SEG,TOTAL_HIGHLIGHTS,TOTAL_BOOKMARKS,PREVISAO_ANTERIOR,DIFICULDADE_ESTUDANTE,CRA,MEDIA_APROVADAS,MEDIA_REPROVADAS,MEDIA_REP_FREQ,MEDIA_DISP_NOTA,MEDIA_MATRICULADAS,TOTAL_PROJETOS,CEP_ENDERECO,PRIMEIRA_GERACAO_SUPERIOR,ANO_INGRESSO_INSTITUICAO,IDADE_INGRESSO_CURSO,INGRESSO_MESMO_CURSO,MATRICULAS_OUTRO_CURSO,TIPO_CHAMADA_INGRESSO,FORMA_EVASAO,CLASSE
'202010936',2020,,'1. Semestre','M',2,33,'BRANCA','Não informado',3,6,-1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,16,0,0,0,0,0,5,21,8.78,1,3.5, 'Nao', 'F', 'F',?,0,0,?,?,607.00,658.10,573.30,678.40,620.00,2,1          ,1          ,87         ,0          ,0          ,8          ,0.5531286078734032,8.73,0.761,0.0,0.0,0.0,0.238,0,97060001,'S',2014,30,0,2,'Listão','Aluno Regular','Regular'
'201620449',2016,,'2. Semestre','M',3,49,'BRANCA','Não informado',7,6,-8,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,19,7,6,0,0,0,1,33,4.37,-1,2.35, 'Nao', 'F', 'F',?,0,0,?,?,670.60,670.70,628.00,671.60,520.00,2,?,?,?,?,?,8          ,0.1165116406978254,4.94,0.575,0.212,0.181,0.0,0.03,1,97010493,'N',2009,41,0,1,'Listão','Aluno Regular','Regular'
'202210025',2022,,'1. Semestre','M',3,43,'BRANCA','Não informado',1,4,1,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,13,3,0,0,0,0,5,21,6.83,0,10.5, 'Nao', 'F', 'F',?,0,0,?,?,622.60,693.70,605.30,712.80,640.00,3,?,?,?,?,?,6          ,0.2843453210104617,6.88,0.619,0.142,0.0,0.0,0.238,0,97090025,'N',2006,41,0,1,'Listão','Aluno Regular','Regular'
'201720283',2017,,'2. Semestre','F',3,40,'OUTRA','Solteiro(a)',6,6,-6,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,16,8,0,5,2,2,0,33,5.67,0,2.75, 'Nao', 'F', 'F',?,0,0,?,?,?,?,?,?,?,?,2          ,7          ,804        ,0          ,1          ,5          ,0.0275360518187457,5.58,0.484,0.242,0.0,0.151,0.0,1,?,'N',2001,33,0,2,'Listão','Aluno Regular','Regular'
'202312018',2023,,'1. Semestre','M',1,21,'BRANCA','Não informado',0,2,1,'S',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,5,10,9.47,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,583.30,574.50,605.80,688.80,700.00,?,3          ,18         ,2404       ,1          ,0          ,?,0.2247750169908236,9.19,0.5,0.0,0.0,0.0,0.5,1,?,'S',2022,20,0,1,'Chamada','Aluno Regular','Regular'
'202310028',2023,,'1. Semestre','M',1,18,'BRANCA','Não informado',0,2,1,'N',57.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,5,10,8.52,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,583.20,636.20,620.70,686.50,800.00,4,?,?,?,?,?,?,0.2247750169908236,8.26,0.5,0.0,0.0,0.0,0.5,1,97210000,'N',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202211493',2022,,'1. Semestre','F',1,20,'BRANCA','Não informado',1,4,1,'S',26.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,12,4,1,2,0,0,6,25,6.53,0,12.5, 'Nao', 'T', 'T', 'A',1575,503,'08/04/2022','31/07/2026',553.40,587.20,459.10,622.90,660.00,?,?,?,?,?,?,5          ,0.1521386452889147,6.62,0.48,0.16,0.04,0.08,0.24,1,?,'N',2021,19,0,1,'Chamada','Aluno Regular','Regular'
'202310174',2023,,'1. Semestre','F',1,18,'BRANCA','Não informado',0,2,1,'N',0.0,1.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,4,1,0,0,0,0,4,9,8.01,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,651.10,635.00,550.70,636.20,860.00,2,?,?,?,?,?,?,0.0517957256263869,7.59,0.444,0.111,0.0,0.0,0.444,1,97010290,'N',2023,17,0,0,'Listão','Aluno Regular','Regular'
'202110103',2021,,'1. Semestre','M',1,21,'OUTRA','Não informado',2,4,-1,'S',80.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,17,0,0,0,0,0,7,24,8.7,1,6.0, 'Nao', 'F', 'F',?,0,0,?,?,597.60,578.40,603.90,774.40,540.00,2,?,?,?,?,?,8          ,0.5357998302700194,8.68,0.708,0.0,0.0,0.0,0.291,1,97015280,'N',2021,18,0,0,'Listão','Aluno Regular','Regular'
'202312024',2023,,'1. Semestre','M',1,21,'BRANCA','Não informado',0,2,1,'S',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,0,0,5,0,0,0,2,7,0.51,-1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,603.60,611.70,594.80,651.50,680.00,1,?,?,?,?,?,?,-0.2697300203889884,0.46,0.0,0.0,0.714,0.0,0.285,1,97105350,'S',2023,20,0,0,'Chamada','Aluno Regular','Regular'
'201812979',2018,,'1. Semestre','M',2,28,'BRANCA','Não informado',5,6,-5,'N',10.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,23,11,2,1,0,0,6,43,5.29,0,4.3, 'Nao', 'F', 'F',?,0,0,?,?,576.30,614.90,639.20,703.50,480.00,4,?,?,?,?,?,4          ,0.0696211264662141,5.73,0.534,0.255,0.046,0.023,0.139,0,98160000,'N',2018,22,0,0,'Chamada','Aluno Regular','Regular'
'202210137',2022,,'1. Semestre','M',1,22,'BRANCA','Não informado',1,4,1,'N',212.0,0.0, 'T', 'F', 'F','Privada',?,?,?,?,?,?,?,?,13,1,1,0,0,0,5,20,6.94,0,10.0, 'Nao', 'F', 'F',?,0,0,?,?,600.20,645.70,626.00,707.30,840.00,1,?,?,?,?,?,5          ,0.4022512412783998,6.97,0.65,0.05,0.05,0.0,0.25,1,97105120,'N',2022,20,0,0,'Listão','Aluno Regular','Regular'
'202011334',2020,,'1. Semestre','M',1,23,'BRANCA','Não informado',3,6,-1,'S',6.0,1.0, 'F', 'F', 'F','Não Informado',?,?,?,?,?,?,?,?,27,3,0,1,0,1,2,34,7.49,1,5.66, 'Nao', 'F', 'F',?,0,0,?,?,590.90,589.70,529.00,676.30,700.00,2,?,?,?,?,?,?,0.4042414008007621,7.38,0.794,0.088,0.0,0.029,0.058,0,97010080,'N',2016,19,0,1,'Listão','Aluno Regular','Regular'
'202010906',2020,,'1. Semestre','M',1,21,'BRANCA','Não informado',3,6,-1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,14,10,0,0,0,0,6,30,5.51,0,5.0, 'Nao', 'F', 'F',?,0,0,?,?,627.90,606.50,561.90,681.20,880.00,4,?,?,?,?,?,9          ,0.0477234636575039,5.23,0.466,0.333,0.0,0.0,0.2,0,97574480,'N',2020,18,0,0,'Listão','Aluno Regular','Regular'
'202111707',2021,,'1. Semestre','F',1,21,'OUTRA','Não informado',2,6,1,'S',123.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,27,1,0,1,0,0,6,35,8.48,1,8.75, 'Nao', 'T', 'T', 'A',1059,352,'06/09/2022','31/07/2025',563.40,614.30,562.00,533.40,840.00,1,2          ,11         ,1149       ,0          ,0          ,3          ,0.4197093699634818,8.31,0.771,0.028,0.0,0.028,0.171,1,97105380,'N',2021,18,0,0,'Listão','Aluno Regular','Regular'
'201912620',2019,,'1. Semestre','M',2,32,'BRANCA','Não informado',4,6,-3,'S',22.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,8,16,7,0,0,0,5,36,2.5,-1,4.5, 'Nao', 'F', 'F',?,0,0,?,?,529.40,565.80,519.70,567.70,500.00,4,?,?,?,?,?,9          ,-0.3534034068900054,2.66,0.222,0.444,0.194,0.0,0.138,0,94460260,'N',2019,28,0,0,'Chamada','Aluno Regular','Regular'
'202112813',2021,,'1. Semestre','M',1,22,'BRANCA','Não informado',2,6,1,'S',17.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,25,1,0,0,0,1,4,31,8.01,1,7.75, 'Nao', 'T', 'T', 'A',1050,343,'15/09/2022','31/07/2025',593.10,505.40,493.20,410.30,560.00,3,1          ,1          ,30         ,0          ,0          ,3          ,0.4515551303439383,8.01,0.806,0.032,0.0,0.0,0.129,1,97045380,'N',2020,20,0,1,'Chamada','Aluno Regular','Regular'
